Age,Years Work Experience,Income,ZIP Code,Family Size,Monthly Credit Card Spending,Education Level,Value of Mortgage,Personal Loan
25,1,49000,91107,4,1600,Undergrad,0,No
45,19,34000,90089,3,1500,Undergrad,0,No
39,15,11000,94720,1,1000,Undergrad,0,No
35,9,100000,94112,1,2700,Graduate,0,No
35,8,45000,91330,4,1000,Graduate,0,No
37,13,29000,92121,4,400,Graduate,155000,No
53,27,72000,91711,2,1500,Graduate,0,No
50,24,22000,93943,1,300,Advanced/Professional,0,No
35,10,81000,90089,3,600,Graduate,104000,No
34,9,180000,93023,1,8900,Advanced/Professional,0,Yes
65,39,105000,94710,4,2400,Advanced/Professional,0,No
29,5,45000,90277,3,100,Graduate,0,No
48,23,114000,93106,2,3800,Advanced/Professional,0,No
59,32,40000,94920,4,2500,Graduate,0,No
67,41,112000,91741,1,2000,Undergrad,0,No
60,30,22000,95054,1,1500,Advanced/Professional,0,No
38,14,130000,95010,4,4700,Advanced/Professional,134000,Yes
42,18,81000,94305,4,2400,Undergrad,0,No
46,21,193000,91604,2,8100,Advanced/Professional,0,Yes
55,28,21000,94720,1,500,Graduate,0,No
56,31,25000,94015,4,900,Graduate,111000,No
57,27,63000,90095,3,2000,Advanced/Professional,0,No
29,5,62000,90277,1,1200,Undergrad,260000,No
44,18,43000,91320,2,700,Undergrad,163000,No
36,11,152000,95521,2,3900,Undergrad,159000,No
43,19,29000,94305,3,500,Undergrad,97000,No
40,16,83000,95064,4,200,Advanced/Professional,0,No
46,20,158000,90064,1,2400,Undergrad,0,No
56,30,48000,94539,1,2200,Advanced/Professional,0,No
38,13,119000,94104,1,3300,Graduate,0,Yes
59,35,35000,93106,1,1200,Advanced/Professional,122000,No
40,16,29000,94117,1,2000,Graduate,0,No
53,28,41000,94801,2,600,Advanced/Professional,193000,No
30,6,18000,91330,3,900,Advanced/Professional,0,No
31,5,50000,94035,4,1800,Advanced/Professional,0,No
48,24,81000,92647,3,700,Undergrad,0,No
59,35,121000,94720,1,2900,Undergrad,0,No
51,25,71000,95814,1,1400,Advanced/Professional,198000,No
42,18,141000,94114,3,5000,Advanced/Professional,0,Yes
38,13,80000,94115,4,700,Advanced/Professional,285000,No
57,32,84000,92672,3,1600,Advanced/Professional,0,No
34,9,60000,94122,3,2300,Undergrad,0,No
32,7,132000,90019,4,1100,Graduate,412000,Yes
39,15,45000,95616,1,700,Undergrad,0,No
46,20,104000,94065,1,5700,Undergrad,0,No
57,31,52000,94720,4,2500,Undergrad,0,No
39,14,43000,95014,3,700,Graduate,153000,No
37,12,194000,91380,4,200,Advanced/Professional,211000,Yes
56,26,81000,95747,2,4500,Advanced/Professional,0,No
40,16,49000,92373,1,1800,Undergrad,0,No
32,8,8000,92093,4,700,Graduate,0,No
61,37,131000,94720,1,2900,Undergrad,0,No
30,6,72000,94005,1,100,Undergrad,207000,No
50,26,190000,90245,3,2100,Advanced/Professional,240000,Yes
29,5,44000,95819,1,200,Advanced/Professional,0,No
41,17,139000,94022,2,8000,Undergrad,0,No
55,30,29000,94005,3,100,Graduate,0,No
56,31,131000,95616,2,1200,Advanced/Professional,0,Yes
28,2,93000,94065,2,200,Undergrad,0,No
31,5,188000,91320,2,4500,Undergrad,455000,No
49,24,39000,90404,3,1700,Graduate,0,No
47,21,125000,93407,1,5700,Undergrad,112000,No
42,18,22000,90089,1,1000,Undergrad,0,No
42,17,32000,94523,4,0,Graduate,0,No
47,23,105000,90024,2,3300,Undergrad,0,No
59,35,131000,91360,1,3800,Undergrad,0,No
62,36,105000,95670,2,2800,Undergrad,336000,No
53,23,45000,95123,4,2000,Advanced/Professional,132000,No
47,21,60000,93407,3,2100,Undergrad,0,No
53,29,20000,90045,4,200,Undergrad,0,No
42,18,115000,91335,1,3500,Undergrad,0,No
53,29,69000,93907,4,1000,Graduate,0,No
44,20,130000,92007,1,5000,Undergrad,0,No
41,16,85000,94606,1,4000,Advanced/Professional,0,No
28,3,135000,94611,2,3300,Undergrad,0,No
31,7,135000,94901,4,3800,Graduate,0,Yes
58,32,12000,91320,3,300,Advanced/Professional,0,No
46,20,29000,92220,3,500,Graduate,0,No
54,30,133000,93305,2,2600,Advanced/Professional,0,Yes
50,26,19000,94720,2,400,Undergrad,118000,No
60,36,41000,95134,4,1300,Undergrad,174000,No
47,22,40000,94612,3,2700,Graduate,0,No
41,16,82000,92507,1,4000,Advanced/Professional,0,No
33,9,50000,94305,1,2400,Graduate,0,No
46,22,18000,91730,1,900,Advanced/Professional,0,No
27,2,109000,94005,4,1800,Advanced/Professional,0,No
40,16,42000,94501,4,2200,Graduate,126000,No
48,22,78000,94305,3,1100,Undergrad,0,No
65,41,51000,94117,2,1100,Undergrad,0,No
25,-1,113000,94303,4,2300,Advanced/Professional,0,No
55,30,118000,90277,4,5600,Graduate,0,Yes
35,10,29000,94105,4,1100,Advanced/Professional,0,No
43,19,34000,94305,3,600,Graduate,0,No
60,34,64000,94550,2,1700,Advanced/Professional,236000,No
65,39,121000,92612,1,2000,Undergrad,0,No
38,12,48000,95617,4,200,Advanced/Professional,0,No
41,15,80000,95014,1,5200,Undergrad,0,No
54,28,161000,92121,1,2900,Undergrad,0,No
49,23,94000,92374,1,300,Undergrad,0,No
66,41,15000,91711,3,100,Advanced/Professional,0,No
48,23,74000,94080,1,1200,Undergrad,0,No
