Age,Years Work Experience,Income,ZIP Code,Family Size,Monthly Credit Card Spending,Education Level,Value of Mortgage,Personal Loan,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
25,1,49000,91107,4,1600,Undergrad,0,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
30,4,60000,91107,4,2200,Graduate,0,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
35,10,200000,91107,2,3000,Undergrad,458000,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
54,30,93000,91107,1,2700,Graduate,0,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
37,12,169000,91107,2,5200,Advanced/Professional,249000,Yes,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
36,6,78000,91107,4,1800,Advanced/Professional,163000,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
50,25,84000,91107,1,1300,Advanced/Professional,0,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
57,31,40000,91107,3,1400,Advanced/Professional,137000,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
60,34,33000,91107,2,300,Undergrad,101000,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
42,18,43000,91107,1,300,Advanced/Professional,158000,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
62,36,29000,91107,2,700,Advanced/Professional,0,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
62,37,95000,91107,3,500,Undergrad,0,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
46,20,54000,91107,1,700,Advanced/Professional,154000,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
30,4,204000,91107,2,4500,Undergrad,0,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
24,-2,80000,91107,2,1600,Advanced/Professional,238000,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
37,12,114000,91107,3,600,Graduate,0,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
40,16,41000,91107,1,2000,Graduate,0,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
35,9,81000,91107,1,2700,Graduate,0,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
54,29,32000,91107,2,600,Advanced/Professional,0,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
56,26,70000,91107,3,1400,Advanced/Professional,273000,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
43,19,123000,91107,3,1300,Undergrad,0,Yes,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
54,29,81000,91107,1,100,Advanced/Professional,0,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
32,6,35000,91107,3,1000,Undergrad,0,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
34,8,165000,91107,1,7000,Advanced/Professional,541000,Yes,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
59,35,111000,91107,1,4300,Undergrad,0,No,34.15919,-118.08688,Pasadena,CA,California,TRUE,,33481,1528.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
45,19,34000,90089,3,1500,Undergrad,0,No,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
35,10,81000,90089,3,600,Graduate,104000,No,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
42,18,22000,90089,1,1000,Undergrad,0,No,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
51,26,70000,90089,1,1200,Undergrad,169000,No,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
26,1,55000,90089,3,2600,Advanced/Professional,113000,No,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
43,16,8000,90089,3,670,Graduate,88000,No,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
56,30,158000,90089,4,6100,Undergrad,0,Yes,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
57,32,174000,90089,1,6800,Graduate,466000,Yes,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
27,0,33000,90089,4,1000,Advanced/Professional,0,No,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
64,39,122000,90089,4,200,Undergrad,378000,Yes,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
37,11,84000,90089,2,1800,Undergrad,0,No,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
36,10,65000,90089,4,2200,Graduate,0,No,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
54,24,75000,90089,2,4500,Advanced/Professional,0,No,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
60,36,14000,90089,2,300,Undergrad,109000,No,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
40,14,129000,90089,1,5900,Advanced/Professional,0,Yes,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
59,35,60000,90089,1,0,Graduate,0,No,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
56,31,192000,90089,1,7000,Advanced/Professional,0,Yes,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
43,16,71000,90089,3,2330,Graduate,0,No,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
43,18,103000,90089,3,1000,Undergrad,180000,No,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
56,32,15000,90089,1,100,Graduate,0,No,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
63,39,160000,90089,2,2100,Undergrad,0,No,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
59,35,94000,90089,1,3800,Undergrad,272000,No,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
24,0,44000,90089,4,1600,Undergrad,180000,No,34.02158,-118.2856,Los Angeles,CA,California,TRUE,,3740,4429.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037,FALSE,FALSE,America/Los_Angeles
